ITEMS,FECHAEMP,LOTE,CODIGO,CAJA,ESPECIE,PRODUCTO,CALIDAD,FECHA ELAB,FECHAVENCI,CAJA2,TALLA,UDS,LIBRAS,PROMEDIO,QUEES,EMPAQUE,CUARTO,POSICION,TARIMA,
455,23/12/2025,300/24,011604071901,2914,ATUN,FAMILY PACK,B,1/9/2025,1/9/2026,2914,1 Lb,30,"30,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,16,
456,23/12/2025,300/24,,2923,ATUN,REVISAR,B, ,,2923,,,,#DIV/0!,INVFISICO,CAJA LBS LIBRE,3,,16,
457,23/12/2025,300/24,011604071901,2905,ATUN,FAMILY PACK,B,1/9/2025,1/9/2026,2905,1 Lb,30,"30,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,16,
458,23/12/2025,300/24,011604071901,2937,ATUN,FAMILY PACK,B,12/9/2025,12/9/2026,2937,1 Lb,30,"30,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,16,
459,23/12/2025,300/24,011604071901,2936,ATUN,FAMILY PACK,B,12/9/2025,12/9/2026,2936,1 Lb,30,"30,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,16,
460,23/12/2025,300/24,011604071901,2935,ATUN,FAMILY PACK,B,12/9/2025,12/9/2026,2935,1 Lb,30,"30,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,16,
461,23/12/2025,300/24,011604071901,2915,ATUN,FAMILY PACK,B,1/9/2025,1/9/2026,2915,1 Lb,30,"30,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,16,
462,23/12/2025,300/24,011604071901,2904,ATUN,FAMILY PACK,B,1/9/2025,1/9/2026,2904,1 Lb,19,"19,0","1,0",INVFISICO,CAJA LBS LIBRE,3,,16,
463,23/12/2025,300/24,011103060101,2917,ATUN,TROCITOS CON CO DE PORCIONES,B,1/9/2025,1/9/2026,2917,0 a 2 oz,18,"36,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
464,23/12/2025,300/24,011103060101,3203,ATUN,TROCITOS CON CO DE PORCIONES,B,22/9/2025,22/9/2026,3203,0 a 2 oz,17,"34,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
465,23/12/2025,300/24,011103060101,2925,ATUN,TROCITOS CON CO DE PORCIONES,B,3/9/2025,3/9/2026,2925,0 a 2 oz,18,"36,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
466,23/12/2025,300/24,011103060101,2939,ATUN,TROCITOS CON CO DE PORCIONES,B,3/9/2025,3/9/2026,2939,0 a 2 oz,18,"36,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
467,23/12/2025,300/24,011103060101,S/N,ATUN,TROCITOS CON CO DE PORCIONES,B,30/12/1899,30/12/1899,S/N,0 a 2 oz,19,"38,0","2,0",INVFISICO,CAJA LBS LIBRE,3,,,
